Population: blue, Agent: agent_0, Location: [0 7], Alive: True
Population: blue, Agent: agent_1, Location: [5 5], Alive: True
Population: blue, Agent: agent_2, Location: [1 5], Alive: True
Population: blue, Agent: agent_3, Location: [6 7], Alive: True
Population: blue, Agent: agent_4, Location: [3 7], Alive: False
Population: blue, Agent: agent_5, Location: [1 5], Alive: True
Population: blue, Agent: agent_6, Location: [7 1], Alive: True
Population: blue, Agent: agent_7, Location: [0 7], Alive: True
Population: blue, Agent: agent_8, Location: [1 0], Alive: True
Population: blue, Agent: agent_9, Location: [2 5], Alive: True
Population: blue, Agent: agent_10, Location: [6 7], Alive: False
Population: blue, Agent: agent_11, Location: [3 1], Alive: True
Population: blue, Agent: agent_12, Location: [2 5], Alive: True
Population: blue, Agent: agent_13, Location: [1 5], Alive: True
Population: blue, Agent: agent_14, Location: [7 1], Alive: True
Population: blue, Agent: agent_15, Location: [5 3], Alive: False
Population: blue, Agent: agent_16, Location: [1 5], Alive: True
Population: blue, Agent: agent_17, Location: [1 0], Alive: True
Population: blue, Agent: agent_18, Location: [3 7], Alive: True
Population: blue, Agent: agent_19, Location: [1 2], Alive: True
Population: blue, Agent: agent_20, Location: [1 2], Alive: True
Population: blue, Agent: agent_21, Location: [7 3], Alive: True
Population: blue, Agent: agent_22, Location: [5 5], Alive: True
Population: blue, Agent: agent_23, Location: [2 3], Alive: True
Population: blue, Agent: agent_24, Location: [4 7], Alive: True
Population: blue, Agent: agent_25, Location: [1 5], Alive: True
Population: blue, Agent: agent_26, Location: [4 7], Alive: True
Population: blue, Agent: agent_27, Location: [0 6], Alive: True
Population: blue, Agent: agent_28, Location: [7 1], Alive: True
Population: blue, Agent: agent_29, Location: [7 2], Alive: True
Population: blue, Agent: agent_30, Location: [0 5], Alive: True
Population: blue, Agent: agent_31, Location: [2 5], Alive: True
Population: blue, Agent: agent_32, Location: [5 5], Alive: True
Population: blue, Agent: agent_33, Location: [1 4], Alive: True
Population: blue, Agent: agent_34, Location: [0 5], Alive: True
Population: blue, Agent: agent_35, Location: [7 1], Alive: True
Population: blue, Agent: agent_36, Location: [2 5], Alive: True
Population: blue, Agent: agent_37, Location: [0 6], Alive: True
Population: blue, Agent: agent_38, Location: [7 3], Alive: True
Population: blue, Agent: agent_39, Location: [0 5], Alive: True
Population: blue, Agent: agent_40, Location: [2 5], Alive: True
Population: blue, Agent: agent_41, Location: [0 7], Alive: True
Population: blue, Agent: agent_42, Location: [6 0], Alive: True
Population: blue, Agent: agent_43, Location: [1 2], Alive: True
Population: blue, Agent: agent_44, Location: [1 4], Alive: True
Population: blue, Agent: agent_45, Location: [7 7], Alive: True
Population: blue, Agent: agent_46, Location: [4 6], Alive: True
Population: blue, Agent: agent_47, Location: [7 1], Alive: True
Population: blue, Agent: agent_48, Location: [4 0], Alive: True
Population: blue, Agent: agent_49, Location: [5 5], Alive: True
Population: blue, Agent: agent_50, Location: [3 7], Alive: True
Population: blue, Agent: agent_51, Location: [6 0], Alive: True
Population: blue, Agent: agent_52, Location: [1 4], Alive: True
Population: blue, Agent: agent_53, Location: [0 6], Alive: True
Population: blue, Agent: agent_54, Location: [7 3], Alive: True
Population: blue, Agent: agent_55, Location: [3 6], Alive: True
Population: blue, Agent: agent_56, Location: [2 5], Alive: True
Population: blue, Agent: agent_57, Location: [4 6], Alive: True
Population: blue, Agent: agent_58, Location: [6 7], Alive: True
Population: blue, Agent: agent_59, Location: [1 2], Alive: True
Population: blue, Agent: agent_60, Location: [5 2], Alive: True
Population: blue, Agent: agent_61, Location: [1 5], Alive: True
Population: blue, Agent: agent_62, Location: [6 7], Alive: True
Population: blue, Agent: agent_63, Location: [1 4], Alive: True
Population: blue, Agent: agent_64, Location: [3 7], Alive: True
Population: blue, Agent: agent_65, Location: [2 5], Alive: True
Population: blue, Agent: agent_66, Location: [3 4], Alive: True
Population: blue, Agent: agent_67, Location: [0 7], Alive: True
Population: blue, Agent: agent_68, Location: [7 2], Alive: True
Population: blue, Agent: agent_69, Location: [6 7], Alive: True
Population: blue, Agent: agent_70, Location: [7 1], Alive: True
Population: blue, Agent: agent_71, Location: [7 2], Alive: True
Population: blue, Agent: agent_72, Location: [3 4], Alive: True
Population: blue, Agent: agent_73, Location: [5 5], Alive: True
Population: blue, Agent: agent_74, Location: [3 4], Alive: False
Population: blue, Agent: agent_75, Location: [1 4], Alive: True
Population: blue, Agent: agent_76, Location: [0 5], Alive: True
Population: blue, Agent: agent_77, Location: [0 7], Alive: True
Population: blue, Agent: agent_78, Location: [4 0], Alive: True
Population: blue, Agent: agent_79, Location: [7 3], Alive: True
Population: blue, Agent: agent_80, Location: [5 5], Alive: True
Population: blue, Agent: agent_81, Location: [3 1], Alive: True
Population: blue, Agent: agent_82, Location: [4 0], Alive: True
Population: blue, Agent: agent_83, Location: [7 3], Alive: True
Population: blue, Agent: agent_84, Location: [3 1], Alive: True
Population: blue, Agent: agent_85, Location: [5 2], Alive: True
Population: blue, Agent: agent_86, Location: [1 4], Alive: True
Population: blue, Agent: agent_87, Location: [3 1], Alive: True
Population: blue, Agent: agent_88, Location: [1 6], Alive: True
Population: blue, Agent: agent_89, Location: [3 4], Alive: True
Population: blue, Agent: agent_90, Location: [7 7], Alive: True
Population: blue, Agent: agent_91, Location: [7 7], Alive: True
Population: blue, Agent: agent_92, Location: [2 3], Alive: True
Population: blue, Agent: agent_93, Location: [7 7], Alive: True
Population: blue, Agent: agent_94, Location: [1 0], Alive: True
Population: blue, Agent: agent_95, Location: [3 4], Alive: True
Population: blue, Agent: agent_96, Location: [6 7], Alive: True
Population: blue, Agent: agent_97, Location: [7 2], Alive: True
Population: blue, Agent: agent_98, Location: [3 7], Alive: True
Population: blue, Agent: agent_99, Location: [4 0], Alive: True
Population: red, Agent: agent_0, Location: [4 5], Alive: True
Population: red, Agent: agent_1, Location: [1 7], Alive: True
Population: red, Agent: agent_2, Location: [6 7], Alive: True
Population: red, Agent: agent_3, Location: [4 6], Alive: True
Population: red, Agent: agent_4, Location: [0 1], Alive: True
Population: red, Agent: agent_5, Location: [6 1], Alive: True
Population: red, Agent: agent_6, Location: [6 5], Alive: True
Population: red, Agent: agent_7, Location: [4 6], Alive: True
Population: red, Agent: agent_8, Location: [4 4], Alive: True
Population: red, Agent: agent_9, Location: [4 7], Alive: True
Population: red, Agent: agent_10, Location: [3 7], Alive: True
Population: red, Agent: agent_11, Location: [1 7], Alive: True
Population: red, Agent: agent_12, Location: [6 2], Alive: True
Population: red, Agent: agent_13, Location: [1 6], Alive: False
Population: red, Agent: agent_14, Location: [6 2], Alive: True
Population: red, Agent: agent_15, Location: [4 7], Alive: True
Population: red, Agent: agent_16, Location: [1 7], Alive: True
Population: red, Agent: agent_17, Location: [6 7], Alive: True
Population: red, Agent: agent_18, Location: [7 6], Alive: True
Population: red, Agent: agent_19, Location: [1 0], Alive: True
Population: red, Agent: agent_20, Location: [3 3], Alive: True
Population: red, Agent: agent_21, Location: [6 7], Alive: True
Population: red, Agent: agent_22, Location: [6 7], Alive: True
Population: red, Agent: agent_23, Location: [4 4], Alive: True
Population: red, Agent: agent_24, Location: [6 5], Alive: True
Population: red, Agent: agent_25, Location: [7 5], Alive: True
Population: red, Agent: agent_26, Location: [4 4], Alive: True
Population: red, Agent: agent_27, Location: [5 1], Alive: True
Population: red, Agent: agent_28, Location: [2 5], Alive: True
Population: red, Agent: agent_29, Location: [1 7], Alive: True
Population: red, Agent: agent_30, Location: [3 3], Alive: True
Population: red, Agent: agent_31, Location: [1 7], Alive: True
Population: red, Agent: agent_32, Location: [6 2], Alive: True
Population: red, Agent: agent_33, Location: [2 4], Alive: True
Population: red, Agent: agent_34, Location: [0 7], Alive: True
Population: red, Agent: agent_35, Location: [4 0], Alive: True
Population: red, Agent: agent_36, Location: [7 1], Alive: True
Population: red, Agent: agent_37, Location: [6 2], Alive: True
Population: red, Agent: agent_38, Location: [3 5], Alive: True
Population: red, Agent: agent_39, Location: [3 7], Alive: True
Population: red, Agent: agent_40, Location: [3 3], Alive: True
Population: red, Agent: agent_41, Location: [0 0], Alive: True
Population: red, Agent: agent_42, Location: [4 0], Alive: True
Population: red, Agent: agent_43, Location: [4 4], Alive: True
Population: red, Agent: agent_44, Location: [4 7], Alive: True
Population: red, Agent: agent_45, Location: [4 0], Alive: True
Population: red, Agent: agent_46, Location: [4 1], Alive: True
Population: red, Agent: agent_47, Location: [6 1], Alive: True
Population: red, Agent: agent_48, Location: [0 0], Alive: True
Population: red, Agent: agent_49, Location: [2 4], Alive: True
Population: red, Agent: agent_50, Location: [4 6], Alive: True
Population: red, Agent: agent_51, Location: [4 5], Alive: True
Population: red, Agent: agent_52, Location: [3 3], Alive: True
Population: red, Agent: agent_53, Location: [4 1], Alive: True
Population: red, Agent: agent_54, Location: [4 0], Alive: False
Population: red, Agent: agent_55, Location: [7 1], Alive: True
Population: red, Agent: agent_56, Location: [3 6], Alive: True
Population: red, Agent: agent_57, Location: [3 7], Alive: True
Population: red, Agent: agent_58, Location: [3 6], Alive: True
Population: red, Agent: agent_59, Location: [0 7], Alive: True
Population: red, Agent: agent_60, Location: [7 1], Alive: True
Population: red, Agent: agent_61, Location: [6 1], Alive: True
Population: red, Agent: agent_62, Location: [7 5], Alive: True
Population: red, Agent: agent_63, Location: [5 1], Alive: True
Population: red, Agent: agent_64, Location: [2 4], Alive: True
Population: red, Agent: agent_65, Location: [6 5], Alive: True
Population: red, Agent: agent_66, Location: [4 0], Alive: True
Population: red, Agent: agent_67, Location: [3 6], Alive: True
Population: red, Agent: agent_68, Location: [4 4], Alive: True
Population: red, Agent: agent_69, Location: [1 5], Alive: True
