Population: blue, Agent: agent_0, Location: [6 2], Alive: True
Population: blue, Agent: agent_1, Location: [6 2], Alive: True
Population: blue, Agent: agent_2, Location: [6 2], Alive: True
Population: blue, Agent: agent_3, Location: [6 2], Alive: True
Population: blue, Agent: agent_4, Location: [6 2], Alive: True
Population: blue, Agent: agent_5, Location: [6 2], Alive: True
Population: blue, Agent: agent_6, Location: [6 2], Alive: True
Population: blue, Agent: agent_7, Location: [6 2], Alive: True
Population: blue, Agent: agent_8, Location: [6 2], Alive: True
Population: blue, Agent: agent_9, Location: [6 2], Alive: True
Population: blue, Agent: agent_10, Location: [6 2], Alive: True
Population: blue, Agent: agent_11, Location: [6 2], Alive: True
Population: blue, Agent: agent_12, Location: [6 2], Alive: True
Population: blue, Agent: agent_13, Location: [6 2], Alive: True
Population: blue, Agent: agent_14, Location: [6 2], Alive: True
Population: blue, Agent: agent_15, Location: [6 2], Alive: True
Population: blue, Agent: agent_16, Location: [6 2], Alive: True
Population: blue, Agent: agent_17, Location: [6 2], Alive: True
Population: blue, Agent: agent_18, Location: [6 2], Alive: True
Population: blue, Agent: agent_19, Location: [6 2], Alive: True
Population: blue, Agent: agent_20, Location: [6 2], Alive: True
Population: blue, Agent: agent_21, Location: [6 2], Alive: True
Population: blue, Agent: agent_22, Location: [6 2], Alive: True
Population: blue, Agent: agent_23, Location: [6 2], Alive: True
Population: blue, Agent: agent_24, Location: [6 2], Alive: True
Population: blue, Agent: agent_25, Location: [6 2], Alive: True
Population: blue, Agent: agent_26, Location: [6 2], Alive: True
Population: blue, Agent: agent_27, Location: [6 2], Alive: True
Population: blue, Agent: agent_28, Location: [6 2], Alive: True
Population: blue, Agent: agent_29, Location: [6 2], Alive: True
Population: blue, Agent: agent_30, Location: [6 2], Alive: True
Population: blue, Agent: agent_31, Location: [6 2], Alive: True
Population: blue, Agent: agent_32, Location: [6 2], Alive: True
Population: blue, Agent: agent_33, Location: [6 2], Alive: True
Population: blue, Agent: agent_34, Location: [6 2], Alive: True
Population: blue, Agent: agent_35, Location: [6 2], Alive: True
Population: blue, Agent: agent_36, Location: [6 2], Alive: True
Population: blue, Agent: agent_37, Location: [6 2], Alive: True
Population: blue, Agent: agent_38, Location: [6 2], Alive: True
Population: blue, Agent: agent_39, Location: [6 2], Alive: True
Population: blue, Agent: agent_40, Location: [6 2], Alive: True
Population: blue, Agent: agent_41, Location: [6 2], Alive: True
Population: blue, Agent: agent_42, Location: [6 2], Alive: True
Population: blue, Agent: agent_43, Location: [6 2], Alive: True
