Population: blue, Agent: agent_0, Location: [0 2], Alive: True
Population: blue, Agent: agent_1, Location: [7 0], Alive: True
Population: blue, Agent: agent_2, Location: [1 1], Alive: True
Population: blue, Agent: agent_3, Location: [5 7], Alive: True
Population: blue, Agent: agent_4, Location: [0 2], Alive: True
Population: blue, Agent: agent_5, Location: [1 3], Alive: True
Population: blue, Agent: agent_6, Location: [7 3], Alive: True
Population: blue, Agent: agent_7, Location: [8 5], Alive: True
Population: blue, Agent: agent_8, Location: [4 8], Alive: True
Population: blue, Agent: agent_9, Location: [6 2], Alive: True
Population: blue, Agent: agent_10, Location: [4 0], Alive: True
Population: blue, Agent: agent_11, Location: [7 2], Alive: True
Population: blue, Agent: agent_12, Location: [8 3], Alive: True
Population: blue, Agent: agent_13, Location: [8 2], Alive: True
Population: blue, Agent: agent_14, Location: [3 7], Alive: True
Population: blue, Agent: agent_15, Location: [8 2], Alive: True
Population: blue, Agent: agent_16, Location: [2 1], Alive: True
Population: blue, Agent: agent_17, Location: [4 7], Alive: True
Population: blue, Agent: agent_18, Location: [6 8], Alive: True
Population: blue, Agent: agent_19, Location: [1 3], Alive: True
Population: blue, Agent: agent_20, Location: [6 6], Alive: True
Population: blue, Agent: agent_21, Location: [8 0], Alive: True
Population: blue, Agent: agent_22, Location: [8 7], Alive: True
Population: blue, Agent: agent_23, Location: [6 2], Alive: True
Population: blue, Agent: agent_24, Location: [7 5], Alive: True
Population: blue, Agent: agent_25, Location: [1 0], Alive: True
Population: blue, Agent: agent_26, Location: [8 7], Alive: True
Population: blue, Agent: agent_27, Location: [7 4], Alive: True
Population: blue, Agent: agent_28, Location: [3 7], Alive: True
Population: blue, Agent: agent_29, Location: [4 0], Alive: True
Population: blue, Agent: agent_30, Location: [7 7], Alive: True
Population: blue, Agent: agent_31, Location: [8 2], Alive: True
Population: blue, Agent: agent_32, Location: [6 1], Alive: True
Population: blue, Agent: agent_33, Location: [2 0], Alive: True
Population: blue, Agent: agent_34, Location: [3 8], Alive: True
Population: blue, Agent: agent_35, Location: [7 3], Alive: True
Population: blue, Agent: agent_36, Location: [1 3], Alive: True
Population: blue, Agent: agent_37, Location: [1 6], Alive: True
Population: blue, Agent: agent_38, Location: [0 2], Alive: True
Population: blue, Agent: agent_39, Location: [7 0], Alive: True
Population: blue, Agent: agent_40, Location: [2 2], Alive: True
Population: blue, Agent: agent_41, Location: [1 3], Alive: True
Population: blue, Agent: agent_42, Location: [1 3], Alive: True
Population: blue, Agent: agent_43, Location: [2 8], Alive: True
Population: blue, Agent: agent_44, Location: [8 1], Alive: True
Population: blue, Agent: agent_45, Location: [2 7], Alive: True
Population: blue, Agent: agent_46, Location: [1 5], Alive: True
Population: blue, Agent: agent_47, Location: [3 8], Alive: True
Population: blue, Agent: agent_48, Location: [0 0], Alive: True
Population: blue, Agent: agent_49, Location: [2 7], Alive: True
Population: blue, Agent: agent_50, Location: [7 6], Alive: True
Population: blue, Agent: agent_51, Location: [7 0], Alive: True
Population: blue, Agent: agent_52, Location: [2 2], Alive: True
Population: blue, Agent: agent_53, Location: [1 0], Alive: True
Population: blue, Agent: agent_54, Location: [1 5], Alive: True
Population: blue, Agent: agent_55, Location: [7 3], Alive: True
Population: blue, Agent: agent_56, Location: [0 1], Alive: True
Population: blue, Agent: agent_57, Location: [0 5], Alive: True
Population: blue, Agent: agent_58, Location: [2 7], Alive: True
Population: blue, Agent: agent_59, Location: [0 1], Alive: True
Population: blue, Agent: agent_60, Location: [0 4], Alive: True
Population: blue, Agent: agent_61, Location: [3 7], Alive: True
Population: blue, Agent: agent_62, Location: [8 3], Alive: True
Population: blue, Agent: agent_63, Location: [7 3], Alive: True
Population: blue, Agent: agent_64, Location: [2 8], Alive: True
Population: blue, Agent: agent_65, Location: [1 4], Alive: True
Population: blue, Agent: agent_66, Location: [7 2], Alive: True
Population: blue, Agent: agent_67, Location: [7 4], Alive: True
Population: blue, Agent: agent_68, Location: [7 2], Alive: True
Population: blue, Agent: agent_69, Location: [2 0], Alive: True
Population: blue, Agent: agent_70, Location: [5 7], Alive: True
Population: blue, Agent: agent_71, Location: [2 7], Alive: True
Population: blue, Agent: agent_72, Location: [8 0], Alive: True
Population: blue, Agent: agent_73, Location: [5 0], Alive: True
Population: blue, Agent: agent_74, Location: [8 1], Alive: True
Population: blue, Agent: agent_75, Location: [2 8], Alive: True
Population: blue, Agent: agent_76, Location: [0 0], Alive: True
Population: blue, Agent: agent_77, Location: [8 3], Alive: True
Population: blue, Agent: agent_78, Location: [0 2], Alive: True
Population: blue, Agent: agent_79, Location: [7 3], Alive: True
Population: blue, Agent: agent_80, Location: [5 7], Alive: True
Population: blue, Agent: agent_81, Location: [4 8], Alive: True
Population: blue, Agent: agent_82, Location: [8 5], Alive: True
Population: blue, Agent: agent_83, Location: [8 2], Alive: True
Population: blue, Agent: agent_84, Location: [1 3], Alive: True
Population: blue, Agent: agent_85, Location: [1 6], Alive: True
Population: blue, Agent: agent_86, Location: [2 2], Alive: True
Population: blue, Agent: agent_87, Location: [1 5], Alive: True
Population: blue, Agent: agent_88, Location: [4 7], Alive: True
Population: blue, Agent: agent_89, Location: [1 6], Alive: True
Population: blue, Agent: agent_90, Location: [3 8], Alive: True
Population: blue, Agent: agent_91, Location: [4 7], Alive: True
Population: blue, Agent: agent_92, Location: [0 2], Alive: True
Population: blue, Agent: agent_93, Location: [5 7], Alive: True
Population: blue, Agent: agent_94, Location: [1 5], Alive: True
Population: blue, Agent: agent_95, Location: [0 5], Alive: True
Population: blue, Agent: agent_96, Location: [2 0], Alive: True
Population: blue, Agent: agent_97, Location: [7 5], Alive: True
Population: blue, Agent: agent_98, Location: [6 8], Alive: True
Population: blue, Agent: agent_99, Location: [8 0], Alive: True
